termino,etiqueta,significado,traduccion_1,traduccion_2,traduccion_3,traduccion_4,
-ba,,"Se forma combinando el marcador ""á"" con el verbo en infinitivo más el sufijo ""-ba"", indicando una acción pasada no completada.",,,,,
-ba,imperfecto simple /  Sufijo,"Marca del imperfecto pasado. Acción habitual o repetida en el pasado. / Se mantiene el marcador ""á"" al inicio para señalar el tiempo pasado. Se añade el sufijo ""-ba"" al infinitivo del verbo. El resultado es una forma que indica una acción no terminada o habitual en el pasado.",Sufijo de pasado,,,,
-éno,Imperativo plural,"El imperativo plural se forma añadiendo el sufijo ""-éno"" al radical del verbo en infinitivo.",Sean,Se usa para dar instrucciones o mandatos a varias personas.,,,
A,Marcador temporal aspectual,Indica un evento pasado. Que la acción del verbo ocurrió en el pasado. Se utiliza con el verbo en infinitivo.,Pasado,,,,
á,Marcador de existencia,"Significa ""solía"". Se posiciona antes de un verbo en infinitivo para formar un concepto verbal complejo. Como verbo modal, séba se posiciona antes del verbo en infinitivo para indicar una acción habitual en el pasado, similar a ""solía"" en español. ",Soy,Eres,Es,Somos,Son
á sé ,Marcador aspectual,Indica acciones habituales en el presente. Se usa con el verbo en infinitivo para señalar rutinas o hábitos actuales.,,,,,
á séba,Marcador aspectual en imperfecto,"Expresa acciones habituales o repetidas en el pasado. Similar a ""solía"" en español.",,,,,
á séba ...-ba,habitual en imperfecto,Combina el aspecto habitual del pasado (á séba) con el imperfecto del verbo principal para señalar continuidad en el pasado.,,,,,
á ta,Verbo copulativo presente,"Indica el estado o ubicación actual. Funciona como ""estar"" en presente.",Estoy,Estamos,Está,,
á tába,Verbo copulativo imperfecto,"Indica el estado o ubicación en el pasado. Funciona como ""estaba"".",Estaba,Estábamos,Estaban,,
Abalenga,Sustantivo,Astro luminoso visible en la noche.,Estrella,Lucero,Astro,Sol,
Abboliá,Verbo infinitivo,Impulsar algo con fuerza hacia un lugar.,Lanzar,Arrojar,Echar,,
Abboliéno,Imperativo plural,Impulsen algo con fuerza hacia un lugar,Lancen,Arrojen,Echen,,
Abbúkto priéto,Locución adverbial,Actuar sin cuidado o medir consecuencias.,Sin precaución,Imprudente,Descuidado,Del cualquier forma ,
Aberaje,Sustantivo,Capacidad de ejercer vigor o fuerza física.,Fuerza,Energía,Sabiduria,Perrenque,
Aberunto,Sustantivo,Ruido o alboroto causado por un grupo.,Bulla,Alboroto,Estrépito,,
Aberúnto,Sustantivo,Motivo o justificación lógica.,Razón,Motivo,Fundamento,Argumento,
Abese,Adverbio,En ciertas ocasiones o de forma esporádica.,A veces,Ocasionalmente,,,
Ablá,Verbo infinitivo,Expresar pensamientos o información de forma verbal.,Decir,Hablar,Expresar,,
Abléno,Imperativo plural,Expresen pensamientos o información verbalmente,Digan,Hablen,Expresen,,
Abraká,Verbo infinitivo,Aplicar presión para juntar o comprimir algo.,Apretar,Comprimir,Presionar,,
Abrakéno,Imperativo plural,Apliquen presión para juntar o comprimir algo,Apreten,Compriman,Presionen,,
Abri,Sustantivo,Cuarto mes del calendario gregoriano.,Abril,,,,
Aburao,Adjetivo,Persona o cosa extremadamente débil o famélica.,Raquítico,Débil,Enjuto,,
Achake,Sustantivo,Estado físico de deterioro o dolencia.,Enfermedad,Dolencia,Afección,Malestar,
Achichá,Verbo infinitivo,Arruinar completamente algo.,Destruir,Devastar,Demoler,,
Achichéno,Imperativo plural,Arruinen completamente algo,Destruyan,Devasten,Demuelan,,
Achiká,Verbo infinitivo,Extraer agua de un pozo o kasimba.,Sacar agua,Bombear,Extraer,,
Achikéno,Imperativo plural,Extraigan agua de un pozo o kasimba,Saquen agua,Bombeen,Extraigan,,
Adañufe,Sustantivo,Tambor ceremonial utilizado en rituales funerarios.,Tambor funerario,,,,
Addé,Verbo infinitivo,Producir sensación de quemazón o calor intenso.,Arder,Quemar,Abrasar,,
Addéno,Imperativo plural,Produzcan sensación de quemazón o calor intenso,Ardan,Quemen,Abrasen,,
Adufe,Sustantivo,Instrumento musical de percusión similar a la pandereta.,Pandereta,,,,
Afrecho,Sustantivo,Residuos o cáscaras de granos y cereales procesados.,Cáscara,Residuo,Salvado,,
Afrikáno,Sustantivo/Adjetivo,Relativo al continente africano o a sus habitantes.,Africano,,,,
Afrokrioyimo,Sustantivo,Movimiento cultural que une raíces africanas y criollas.,Afrocriollismo,,,,
Afunchao,Sustantivo,Plato típico de arroz cocido con leche.,Arroz con leche,Postre,,,
Agaritá,Verbo infinitivo,Distribuir algo entre varias personas.,Repartir,Compartir,Distribuir,,
Agariténo,Imperativo plural,Distribuyan algo entre varias personas,Repartan,Compartan,Distribuyan,,
Aggarete,Adjetivo,Que no está sujeto ni asegurado.,Suelto,Libre,,,
Aggaritá,Verbo infinitivo,Usar recursos de forma irresponsable.,Malgastar,Derrochar,Desperdiciar,,
Aggariténo,Imperativo plural,Usen recursos de forma irresponsable,Malgasten,Derrochen,Desperdicien,,
Aggonisá,Verbo infinitivo,Establecer orden o planificación.,Organizar,Ordenar,Estructurar,,
Aggoniséno,Imperativo plural,Establezcan orden o planificación,Organicen,Ordenen,Estructuren,,
Aggún,Adjetivo/Pronombre,Uno indeterminado dentro de un grupo.,Algún,Cierto,Determinado,,
Agguno,Pronombre indefinido,Persona o cosa no especificada dentro de un conjunto.,Alguno,Cualquiera,,,
Agoto,Sustantivo,Octavo mes del calendario gregoriano.,Agosto,,,,
Aguaitá,Verbo infinitivo,Fijar la atención en algo o alguien.,Observar,Mirar,Vigilar,,
Aguaiténo,Imperativo plural,Fijen la atención en algo o alguien,Observen,Miren,Vigilen,,
Agualá,Interjección,Expresa deseo o esperanza.,Ojalá,Que así sea,,,
Agualongo,Sustantivo,Persona que lidera o dirige.,Comandante,Jefe,Líder,,
Aguandá,Verbo infinitivo,Resistir o soportar algo.,Aguantar,Tolerar,Resistir,,
Aguandéno,Imperativo plural,Resistan o soporten algo,Aguanten,Toleren,Resistan,,
Agué,Adverbio,Indica el tiempo presente.,Hoy,En este momento,,,
Agüela,Sustantivo,Madre de los padres o ascendiente de segundo grado.,Abuela,,,,
Ai,Verbo impersonal,Expresión de existencia.,Hay,Existe,,,
Aí,Adverbio,Señala un lugar cercano.,Ahí,En ese lugar,,,
Ajibe,Sustantivo,Depósito profundo para almacenar agua dulce.,Pozo profundo,Cisterna,Depósito,,
Ajogá,Verbo pronominal,Morir por falta de aire o agua en las vías respiratorias.,Ahogarse,Sofocarse,,,
Ajogéno,Imperativo plural,Muéranse por falta de aire o agua en las vías respiratorias.,Ahóguense,Sofóquense,,,
Ajuéno,Imperativo plural,Aléjense apresuradamente de un lugar.,Huyan,Escapen,,,
Ajuí,Verbo infinitivo,Alejarse apresuradamente de un lugar.,Huir,Escapar,,,
Ajuindo,Participio,Acción de alejarse rápidamente.,Huyendo,Escapando,Fugitivo,,
Ajumáo,Adjetivo,Persona bajo los efectos del alcohol.,Borracho,Ebrio,Embriagado,,
Ajutaró,Sustantivo,Prenda interior femenina.,Brasier,Sostén,,,
Akabá,Verbo infinitivo,Terminar algo.,Acabar,Finalizar,Concluir,,
Akabéno,Imperativo plural,Terminen algo.,Acaben,Finalicen,Concluyan,,
Akasioná,Verbo infinitivo,Generar una causa o efecto.,Ocasionar,Provocar,Causar,,
Akasionao,Adjetivo,Algo que genera perjuicio.,Perjudicante,Dañino,Nocivo,,
Akasionéno,Imperativo plural,Generen una causa o efecto.,Ocasionen,Provoquen,Causen,,
Aké,Pronombre demostrativo,Señala algo lejano.,Aquel,Esa cosa,,,
Akí,Adverbio,Indica el lugar presente.,Aquí,En este lugar,,,
